id,name,category,price_amount,price_currency,summary,copyrights,artist,image_url,itunes_medium_id,created_at,updated_at
897,"イロイロ ぬくもりの記憶 (字幕版)","映画",2500,JPY,"1997年のシンガポール。共働きで多忙な両親をもつ一人っ子のジャールーは、わがままな振る舞いが多く、小学校でも問題ばかり起こして周囲の人々を困らせていた。手を焼いた母親の決断で、フィリピン人メイドのテレサが住み込みで家にやって来る。突然の部外者に、なかなか心を開かないジャールーだったが、仕送り先にいる息子への想いを抑えつつ必死で働くテレサに、いつしか自分の抱える孤独と同じものを感じて心を開いていく。だが、そんな折、父親がアジア通貨危機による不況で会社をリストラされてしまう。また、メイドに打ち解けた息子に安心していたはずの母親の心にも、嫉妬にも似た感情が芽生えはじめる…。",,"アンソニー・チェン",http://is3.mzstatic.com/image/thumb/Video7/v4/2f/a8/6d/2fa86d29-e8c2-3129-2ef8-540b9c7f2098/P106_poster.jpg/170x170bb-85.jpg,997338152,"2017-11-21 18:17:25.722564","2017-11-21 18:17:25.722564"
898,"アース (吹替版)","映画",1500,JPY,"『ディープ・ブルー』のスタッフが5年の歳月をかけて撮影した、心揺さぶる地球のポートレート。太陽系第三惑星・地球。この生物にあふれた美しく厳しい星の姿をあらゆる角度から捉えた、“地球のポートレート”とも言うべきドキュメンタリー。北極から南極へと向かう旅の中で、ホッキョクグマの親子、砂漠を大移動するアフリカゾウの群れ、ザトウクジラなど数々の生物の営みを圧倒的な迫力の映像で映し出していく。制作には『ディープ・ブルー』のスタッフが集結。超ハイスピードカメラなどの最新機器を駆使しながら、5年もの長きにわたって“奇跡の瞬間”を追い続けてきた。",,"アラステア・フォザーギル & マーク・リンフィールド",http://is5.mzstatic.com/image/thumb/Video/v4/5e/96/90/5e9690f4-f687-c89c-4546-6d6272d0af19/GAGA5453_0001_poster.jpg/170x170bb-85.jpg,566009420,"2017-11-21 18:17:26.810841","2017-11-21 18:17:26.810841"
899,"クリスマスの贈り物 (字幕版)","映画",1500,JPY,"天使の歌声が響く夜、その奇跡は起きた。ボルチモアで母とふたりで暮らすラングストンは生活の苦しさ若いエネルギーを持て余していた。クリスマスを前にしたある日、部屋からの立ち退き通知を手に途方に暮れる母親をみてラングストンは愕然とする。親子で路頭に迷うことになると案じた母親は、疎遠になっていたNYの祖父母の元へ息子を送ることに。不安から抵抗するラングストンだったが自分の力ではどうすることも出来ないと悟りひとり寂しくバスに乗る。初めての孫を暖かく迎える祖母、対照的に家のルールを説く祖父は厳しかったが家族やそのルーツにについてラングストンに話して聞かせる。そしてクリスマスの当日、教会のミサへと出席したラングストンが目にしたものとは・・・。クリスマスと信仰、そして家族の絆を豪華キャストと多彩な音楽で綴る感動のミュージカル・ドラマ。",,"ケイシー・レモンズ",http://is3.mzstatic.com/image/thumb/Video1/v4/79/c9/84/79c98413-0ac2-4528-657b-21996969fe70/posterart_JP.jpg/170x170bb-85.jpg,944061031,"2017-11-21 18:17:26.819878","2017-11-21 18:17:26.819878"
900,"三十四丁目の奇蹟 (字幕版)","映画",1500,JPY,"サンタクロースを信じますか?アカデミー賞3部門受賞の名作ドラマ。ニューヨークのデパートで、サンタクロースとして雇われた白ヒゲの老人クリス・クリングル。クリングルのサンタは評判を呼ぶが、彼は「自分は本物のサンタだ」と主張し、ついには裁判が開かれる――",,"ジョージ・シートン",http://is2.mzstatic.com/image/thumb/Video7/v4/71/5d/82/715d8293-9cda-9dd5-5009-6362760e01bb/posterart_JP.jpg/170x170bb-85.jpg,1005426446,"2017-11-21 18:17:26.829464","2017-11-21 18:17:26.829464"
901,"クリスマス・キャロル (字幕版)","映画",1500,JPY,"全世界で愛され続けるディケンズの名作「クリスマス・キャロル」を豪華キャストで再現する感動大作!ロンドンの下町に事務所を構えるケチでカタブツの商人スクルージ。誰に対しても情け容赦ないその強欲ぶりは、隣人や取引相手たちから忌み嫌われていた。クリスマス・イヴの晩、そんな彼の前に7年前に亡くなった共同経営者マーレイの霊が現れる。",,"クライヴ・ドナー",http://is2.mzstatic.com/image/thumb/Video7/v4/a8/56/d4/a856d47c-2f1e-fc3d-dab3-3d26193ac59f/ChristmasCrl_1400x2100_JP.jpg/170x170bb-85.jpg,1005963367,"2017-11-21 18:17:26.835052","2017-11-21 18:17:26.835052"
902,"掠奪された７人の花嫁(字幕版)","映画",1500,JPY,"大西部オレゴンの山奥に、騒々しく住む7人兄弟の長男が、町へ出かけてきれいな花嫁を連れ帰った。薄汚い弟たちは色めきたち、兄の入れ知恵で古代ローマ人に倣って略奪結婚を敢行するのだが…。若さと生命感とバイタリティにあふれ、アクロバット・ダンスとスウィートなラブソングが春まだ浅い山々にこだまする。ワイルドな青春のエネルギーが爆発する結婚式のダイナミックな群舞。強烈なアピールと名声は時と共に高まり、この作品が生んだミュージカルの新しい流れは後の「ウエスト・サイド物語」へとつながる。アカデミー賞(R)ミュージカル部門を受賞。作品賞候補にもなった。",,"スタンリー・ドーネン",http://is1.mzstatic.com/image/thumb/Video/v4/bc/1a/84/bc1a8477-bba3-1705-0ae7-5af1f119abb7/mza_6066369117420280815.jpg/170x170bb-85.jpg,657309968,"2017-11-21 18:17:26.841329","2017-11-21 18:17:26.841329"
903,"ハッピー・メリー・ストライキ (字幕版)","映画",1500,JPY,"この時期、母親たちの仕事は終わらない。家族のために何でも完璧にこなしてきたジョイ･ロバートソン（ダフネ･ズニーガ）はついに言った、「もうたくさん」。そして、クリスマスのストライキを決行する。ジョイの夫、スティーブン（デヴィッド･サトクリフ）とその子供たちは、完璧なクリスマスを過ごすために、自分たちで準備をしなければならなくなった。だが、クリスマスをボイコットする町の女性たちが増えるにつれて、自分たちにはより大きな問題があると気がつく家族も現れ始め･･･ 休暇のおかげで、彼らは本当に必要なものに気がつくのだった。",,"ロバート・イスコヴ",http://is3.mzstatic.com/image/thumb/Video/ff/4d/3a/mzi.aucdhhqu.jpg/170x170bb-85.jpg,507975297,"2017-11-21 18:17:26.846412","2017-11-21 18:17:26.846412"
904,"テレーズの罪(字幕版)","映画",2500,JPY,"1928年、フランス。良家の娘であるテレーズは、幼馴染みのアンヌの兄で、広大な松林を資産として所有するデスケルウ家の長男ベルナールと結婚する。しかし、それは愛情によるものではなく、家柄や経済状況を優先した、いわゆる“政略結婚”と言えた。退屈な結婚生活を続けるうちに、彼女の心には粗野な夫への嫌悪感が育っていく。ベルナールとの間に娘をもうけてからも、母親としての生きがいを見出だすことができないテレーズ。“自由”への渇望からか、次第に彼女は孤独な闇に心を蝕まれていくのだった。そんななか、ベルナールが原因不明の体調不良を訴える。その症状は、日に日に悪化してゆき…。",,"クロード・ミレール",http://is2.mzstatic.com/image/thumb/Video4/v4/46/ad/5e/46ad5eb4-6f58-8f9d-d3d7-0ca0413633ff/Hch_0109_mxm_poster.jpg/170x170bb-85.jpg,1064359780,"2017-11-21 18:17:26.857792","2017-11-21 18:17:26.857792"
905,"クリスマスの贈り物 (吹替版)","映画",1500,JPY,"天使の歌声が響く夜、その奇跡は起きた。ボルチモアで母とふたりで暮らすラングストンは生活の苦しさ若いエネルギーを持て余していた。クリスマスを前にしたある日、部屋からの立ち退き通知を手に途方に暮れる母親をみてラングストンは愕然とする。親子で路頭に迷うことになると案じた母親は、疎遠になっていたNYの祖父母の元へ息子を送ることに。不安から抵抗するラングストンだったが自分の力ではどうすることも出来ないと悟りひとり寂しくバスに乗る。初めての孫を暖かく迎える祖母、対照的に家のルールを説く祖父は厳しかったが家族やそのルーツにについてラングストンに話して聞かせる。そしてクリスマスの当日、教会のミサへと出席したラングストンが目にしたものとは・・・。クリスマスと信仰、そして家族の絆を豪華キャストと多彩な音楽で綴る感動のミュージカル・ドラマ。",,"ケイシー・レモンズ",http://is1.mzstatic.com/image/thumb/Video3/v4/3f/82/f8/3f82f885-a360-7f17-c04a-104d59e7af2c/posterart_JP.jpg/170x170bb-85.jpg,944056167,"2017-11-21 18:17:26.863125","2017-11-21 18:17:26.863125"
906,"Connie Talbot’s Holiday Magic","映画",1500,JPY,"Magic will surely be in the air this holiday season! Connie Talbot, the acclaimed 8-year-old singing sensation, stars in her own one-hour Holiday Magic TV special. The concert was filmed at the WVIA PBS Studio in the High Definition theater in front of a live studio audience. The special features the young songbird's renditions of classic holiday tunes, including ""Frosty the Snowman,"" ""Ave Maria,"" ""Silent Night"" and ""Walking In the Air.""  Connie was only 6 years old when she won the hearts of the world by appearing on Britain's Got Talent starring Simon Cowell. Britain's Got Talent is the same show which last year's breakout star Susan Boyle performed.",,"Connie Talbot",http://is5.mzstatic.com/image/thumb/Video/v4/30/07/6d/30076d9d-3c84-aea6-d733-e9895587a206/USA2P1279157_US.jpg/170x170bb-85.jpg,576134543,"2017-11-21 18:17:26.868034","2017-11-21 18:17:26.868034"
